soundname	intervalname	F1	F2	F3	
048_25122019	p	758.3936279457175	1645.6323394239255	2529.255834799194	
048_25122019	a	926.7327924658995	1520.1042819706734	2863.399349631942	
048_25122019	l	716.2266196643144	1509.2914665618825	3107.121416064641	
048_25122019	a	838.7610160461662	1529.6196609359965	2514.5615393778153	
048_25122019	ŋ	594.8600138639881	1363.1905206582794	2197.7811894951915	
048_25122019	l	325.18101059357053	1727.887122550661	2720.610985368569	
048_25122019	ɛ	550.7032773658955	1858.9557084828527	2573.4628592112444	
048_25122019	p	714.198068081637	1653.6321958540896	2881.2650267984486	
048_25122019	a	910.7727607492845	1461.4776475182798	2712.681218981769	
048_25122019	l	605.1945635816929	1522.1088451258972	2952.8584056191603	
048_25122019	a	838.9862863856671	1514.9596761807281	2603.5945058521656	
048_25122019	ŋ	574.4623121947589	1345.790325730855	2261.9253920004335	
076_25122019	d	409.351664919586	1952.7975653000142	2699.3814550073603	
076_25122019	r	436.4099317055286	1483.5844845846098	2175.648914040359	
076_25122019	ɔ	498.8070851473587	1273.07276631812	2039.0249676319115	
076_25122019	d	442.926784838823	1529.6283037592425	2172.9336462623523	
076_25122019	r	416.5500997214428	1458.4708172132634	2392.9305610978804	
076_25122019	ɔ	479.5401799823224	981.7577164103941	2249.712278799876	
076_25122019	d	806.4332631420045	1929.050066703941	2939.348835434109	
076_25122019	r	432.99324150210447	1350.2186005091346	2361.3004783160077	
076_25122019	ɔ	485.7533587568757	1191.8467338142739	2386.6872486896186	
076_25122019	d	437.7876853060329	1516.504792418023	2632.6893612829663	
076_25122019	r	444.26133977758843	1533.6971436774509	2210.533330829095	
076_25122019	ɔ	502.6518372089636	1009.4638982300904	2228.6303842174875	
076_25122019	d	624.9546864971796	1937.0717617136693	2848.49623661226	
076_25122019	r	421.3393848698436	1465.0817945948945	2160.5378612270442	
076_25122019	ɔ	466.1135907353315	1312.8681706919538	2186.557811414695	
076_25122019	d	318.2855149851967	1374.6168369193624	2410.172769440578	
076_25122019	r	436.9164277035546	1516.94042975747	2076.1183731964215	
076_25122019	ɔ	499.8814976206841	1026.8916277126293	2181.036630079605	
076_25122019	d	601.342524617753	1799.9878433256076	2811.3459874384193	
